iter	Logloss
0	0.6615659381
1	0.6407286618
2	0.6029278816
3	0.584840687
4	0.5627277269
5	0.546963403
6	0.5300493503
7	0.5074040474
8	0.4862830486
9	0.46925347
10	0.4510561042
11	0.4421841333
12	0.4296173656
13	0.4153659716
14	0.4034840295
15	0.3908406879
16	0.3827846072
17	0.3693482985
18	0.358455553
19	0.3487416539
20	0.3387321682
21	0.3301833966
22	0.3205000151
23	0.3119047672
24	0.3063071015
25	0.2973374533
26	0.2859887989
27	0.2791687152
28	0.2734600032
29	0.267326355
30	0.2591417295
31	0.2541406964
32	0.2491983536
33	0.2448893556
34	0.2402176113
35	0.2334512133
36	0.2270569758
37	0.222215285
38	0.2155758219
39	0.2111912999
40	0.2044213846
41	0.1982313034
42	0.1958061358
43	0.1919703527
44	0.186750552
45	0.1825277696
46	0.1762520676
47	0.1725842012
48	0.1686753439
49	0.1646197433
50	0.1605400295
51	0.1541213989
52	0.1513846336
53	0.1461138682
54	0.1428947624
55	0.1401869835
56	0.1370789064
57	0.1337016044
58	0.1318585982
59	0.1281680273
60	0.1256678782
61	0.1228795095
62	0.1198385046
63	0.1178072133
64	0.1145102912
65	0.1097641429
66	0.1056468159
67	0.1033634746
68	0.1006232795
69	0.09751727603
70	0.09417287144
71	0.09187554876
72	0.08876548557
73	0.08586677061
74	0.08320370945
75	0.08032717399
76	0.07865109575
77	0.0755204192
78	0.07313625528
79	0.07029893858
80	0.06815066906
81	0.06614055546
82	0.06466898787
83	0.06265881302
84	0.06079099813
85	0.05937609104
86	0.05783725879
87	0.05616929116
88	0.05442991607
89	0.05297913245
90	0.05151543486
91	0.05021517867
92	0.04921613921
93	0.04797375968
94	0.0465379505
95	0.04554162332
96	0.04443704973
97	0.04338015985
98	0.04222881247
99	0.04123523257
100	0.04035919522
101	0.03924046963
102	0.03815752432
103	0.03720442746
104	0.03619242808
105	0.03543163658
106	0.03470405526
107	0.03394385872
108	0.03341424793
109	0.0325456628
110	0.0318293309
111	0.03109354929
112	0.03047930429
113	0.02985154598
114	0.02928715233
115	0.02869648015
116	0.02816499701
117	0.02739287954
118	0.0267364082
119	0.02617891557
120	0.02560887643
121	0.0248953618
122	0.02446849412
123	0.0240729577
124	0.02358897673
125	0.02313690448
126	0.02273253345
127	0.0222318938
128	0.02188748613
129	0.02150032498
130	0.02118983619
131	0.0207500939
132	0.020417979
133	0.02011434966
134	0.01987144488
135	0.01938460289
136	0.01902713688
137	0.01865680065
138	0.01833004252
139	0.01787054211
140	0.01758402313
141	0.01729239564
142	0.0170287386
143	0.0167755151
144	0.01649094503
145	0.01622275475
146	0.01589107951
147	0.01565450813
148	0.01538907716
149	0.01518066432
150	0.01498264785
151	0.01476534135
152	0.01455444808
153	0.01432517253
154	0.01414017502
155	0.01388829345
156	0.01373315623
157	0.01354696444
158	0.01328889821
159	0.01309402492
160	0.0128366116
161	0.01267034417
162	0.01250416204
163	0.01235559665
164	0.01217723549
165	0.01197920699
166	0.01170976665
167	0.01150128601
168	0.01130727234
169	0.01116971576
170	0.01103361922
171	0.01091375482
172	0.01074578784
173	0.01060931836
174	0.01047535008
175	0.01036515477
176	0.01025258073
177	0.01012421639
178	0.009993275371
179	0.009852247501
180	0.009708967778
181	0.009628080447
182	0.009515321583
183	0.009377468617
184	0.00927302378
185	0.009151331328
186	0.009039547465
187	0.008932240512
188	0.008814280186
189	0.008708311877
190	0.008594133438
191	0.008488390424
192	0.00837358641
193	0.008285839623
194	0.008171290979
195	0.008107185364
196	0.008015608022
197	0.007930137696
198	0.007846065071
199	0.007770088835
200	0.007690295167
201	0.007623545074
202	0.007534099281
203	0.007442708956
204	0.007374833483
205	0.007295773117
206	0.007235119102
207	0.007146623703
208	0.007092811099
209	0.006971404093
210	0.006901883751
211	0.00683908725
212	0.006778298168
213	0.006722490722
214	0.006655362768
215	0.006599484781
216	0.006542629605
217	0.006501686136
218	0.006429170797
219	0.006363827154
220	0.006320951729
221	0.006271698059
222	0.006212465807
223	0.006150681491
224	0.006114825196
225	0.006066933684
226	0.006006473795
227	0.005951605806
228	0.005895849762
229	0.005857516319
230	0.005806015719
231	0.005758898521
232	0.005713894827
233	0.005658111441
234	0.005593418528
235	0.005543311802
236	0.005502132101
237	0.00545452002
238	0.005405654601
239	0.00535963216
240	0.005302723395
241	0.005264552361
242	0.005202167625
243	0.005159243531
244	0.005134387301
245	0.005111573486
246	0.005065549404
247	0.005022414781
248	0.004993914464
249	0.004954926465
250	0.004922180001
251	0.004879912105
252	0.004841129714
253	0.004789477095
254	0.004761896002
255	0.004728178912
256	0.004658715441
257	0.004627461827
258	0.004594097991
259	0.004545244602
260	0.004497312351
261	0.004465544716
262	0.004435988194
263	0.004410750002
264	0.004383278002
265	0.004352440801
266	0.004326257684
267	0.004301700297
